judul,tahun,durasi,gendre,rating,sutradara,aktor,votes,user,isi user,tgl,rating user
,,,,,,,,adhityaeriny,A big breakthrough for Indonesia's Horror Movie Industry,10-Oct-17,9
,,,,,,,,reinzarvest-04176,Awesome,2-Dec-20,10
,,,,,,,,gedikreverdi,It needs better actors and a script,6-Jun-21,4
,,,,,,,,lcanderson-13864,Indonesian Conjuring meets Sadako meets the Woman in Black meets cult home invasion,6-Oct-18,5
,,,,,,,,JoelChamp85,Not Bad But Nothing Too Original,27-Mar-21,5
,,,,,,,,coolidgebutch,Warning: extremely scary,10-Jun-19,10
,,,,,,,,andrewchristianjr,CREEPY.,14-Jul-22,8
,,,,,,,,yuma310,Not horror...but maybe an extended advertisement!!,3-Apr-19,3
,,,,,,,,gavin6942,Indonesia Brings Its A-Game,24-Jun-18,8
,,,,,,,,nicholassantoso,The best horror movie in Indonesia,30-Oct-22,8
Photocopier,-2021,130 min,"Crime, Drama, Mystery",6.8,Wregas Bhanuteja,Wregas Bhanuteja,"3,784",,,,
Photocopier,-2021,130 min,"Crime, Drama, Mystery",6.8,Wregas Bhanuteja,Shenina Cinnamon,"3,784",,,,
Photocopier,-2021,130 min,"Crime, Drama, Mystery",6.8,Wregas Bhanuteja,Dea Panendra,"3,784",,,,
Photocopier,-2021,130 min,"Crime, Drama, Mystery",6.8,Wregas Bhanuteja,Giulio Parengkuan,"3,784",,,,
Photocopier,-2021,130 min,"Crime, Drama, Mystery",6.8,Wregas Bhanuteja,Jerome Kurnia,"3,784",,,,
,,,,,,,,arungeorge13,A slice of Indonesian cinema at its finest! [+79%],13-Jan-22,8
,,,,,,,,icocleric,Very Powerful,13-Jan-22,9
,,,,,,,,ops-52535,hardly ever seen...,15-Jan-22,8
,,,,,,,,exceladeogun,Toptier!,16-Jan-22,10
,,,,,,,,kindredparadox,"Forced Idea, Well Executed",16-Jan-22,6
,,,,,,,,kosmasp,Impact vs. execution,27-Jan-22,7
,,,,,,,,kamalbeeee,Good mystery thriller..!!,5-Mar-22,7
,,,,,,,,mohinderchugh,Pleasantly Surprised by this Tech Mystery Crime Thriller,13-Jan-22,
,,,,,,,,nayyar-aditya,"Good, but have been much better!",16-Jan-22,6
,,,,,,,,qui_j,Indonesian Teen Drama plus Agatha Christie!,26-Jan-22,3
,,,,,,,,Horror_Flick_Fanatic,absurd movie,23-Jan-22,4
,,,,,,,,Cirdl3,One Of The Best Indonesia Movie,15-Jan-22,9
,,,,,,,,Otte1,Bad ending,11-Sep-22,4
,,,,,,,,iamMarkPrice,So powerful you must watch,15-Jan-22,8
,,,,,,,,aldri-feb,Promising Set-Up Story but Messed at the End,21-Jan-22,5
,,,,,,,,thomasafik,Deserve more recognition,14-Jan-22,10
,,,,,,,,santosofajar-76865,"Controversial Social Issue, Watered Down",26-Jan-22,2
,,,,,,,,michael-64099,"This is no clickbait movie, it's really good!",21-Jan-22,9
,,,,,,,,ahmadfrie,I dont really like the plot.....,14-Jan-22,6
,,,,,,,,Thedragonmaster-20667,One of the best movie i have ever seen,14-Jan-22,10
,,,,,,,,raj-bhullar,"Gripping, underrated, hidden gem",22-Jul-22,9
,,,,,,,,hprabowo,One of Indonesia's finest,15-Jan-22,9
,,,,,,,,XueHuaBingYu,Wow! One of the best films I've seen.,29-Jan-22,8
,,,,,,,,thewalkingpuns,great story and great setting,19-Jan-22,7
,,,,,,,,divinalondon,Whaaaat?,19-Jan-22,1
Missing Home,-2022,114 min,"Comedy, Drama",8,Bene Dion Rajagukguk,Bene Dion Rajagukguk,"1,992",,,,
Missing Home,-2022,114 min,"Comedy, Drama",8,Bene Dion Rajagukguk,Arswendy Bening Swara,"1,992",,,,
Missing Home,-2022,114 min,"Comedy, Drama",8,Bene Dion Rajagukguk,Tika Panggabean,"1,992",,,,
Missing Home,-2022,114 min,"Comedy, Drama",8,Bene Dion Rajagukguk,Boris Bokir,"1,992",,,,
Missing Home,-2022,114 min,"Comedy, Drama",8,Bene Dion Rajagukguk,Ghita Bhebhita,"1,992",,,,
,,,,,,,,witra_as,Strong emphasis on family relationships,4-Jun-22,9
,,,,,,,,ytharumta,The Best Family Drama Movies,2-Jun-22,10
,,,,,,,,yehezkielginting,Full of laugh and tears,3-Jun-22,10
,,,,,,,,canisthya,Nature and culture perfect mix,8-Oct-22,8
,,,,,,,,bimaadiwira,Perfect balance of comedy and heartwarming family story,4-Jul-22,8
,,,,,,,,awaldibachtiar,Good story and acting,5-Jun-22,9
,,,,,,,,hans-panjaitan-330-89832,Truly Bataknese family,7-Jul-22,9
,,,,,,,,nottfreyja,Whole package of family movie,13-Jun-22,9
,,,,,,,,samODA-092,Really represents the Bataknese family,4-Jul-22,10
,,,,,,,,pasaribuharisfadli,A familial comedy-drama that felt familiar and pertinent,8-Jun-22,7
,,,,,,,,bajingantampan,A Movie for Everybody,14-Jun-22,10
,,,,,,,,hiapakabarsehat,Best Family Movie,18-Jun-22,10
,,,,,,,,andrewchristianjr,WELL-TOLD. DEEPLY PERSONAL.,9-Oct-22,8
,,,,,,,,ladyroockerz,Great storyline!,24-Apr-23,9
,,,,,,,,HafizhMaulana21,A family drama film full of meaning and empathy with cultural beauty,24-Nov-22,10
,,,,,,,,ryolusky13,An honest and balanced portrait of Batak family and its cultural values,6-Oct-22,9
,,,,,,,,evelynsimorangkir,Good,31-Jul-22,8
,,,,,,,,yoonbeeyond,Good family-drama,29-Jan-24,8
Falling in Love Like in Movies,-2023,118 min,"Comedy, Drama, Romance",8.7,Yandy Laurens,Yandy Laurens,631,,,,
Falling in Love Like in Movies,-2023,118 min,"Comedy, Drama, Romance",8.7,Yandy Laurens,Ringgo Agus Rahman,631,,,,
Falling in Love Like in Movies,-2023,118 min,"Comedy, Drama, Romance",8.7,Yandy Laurens,Nirina Zubir,631,,,,
Falling in Love Like in Movies,-2023,118 min,"Comedy, Drama, Romance",8.7,Yandy Laurens,Alex Abbad,631,,,,
Falling in Love Like in Movies,-2023,118 min,"Comedy, Drama, Romance",8.7,Yandy Laurens,Sheila Dara Aisha,631,,,,
Sri Asih,-2022,135 min,"Action, Adventure, Drama",6.4,Upi Avianto,Upi Avianto,"1,383",,,,
Sri Asih,-2022,135 min,"Action, Adventure, Drama",6.4,Upi Avianto,Pevita Pearce,"1,383",,,,
Sri Asih,-2022,135 min,"Action, Adventure, Drama",6.4,Upi Avianto,Ario Bayu,"1,383",,,,
Sri Asih,-2022,135 min,"Action, Adventure, Drama",6.4,Upi Avianto,Christine Hakim,"1,383",,,,
Sri Asih,-2022,135 min,"Action, Adventure, Drama",6.4,Upi Avianto,Jefri Nichol,"1,383",,,,
,,,,,,,,mademoisherl,Could've been so much better than this,4-Dec-22,6
,,,,,,,,sansanxaverius-76886,Wonder Woman Wanna Be,21-Nov-22,6
,,,,,,,,geraldkweesar,"An Improvement, But Still Isn't Good",31-Mar-23,5
,,,,,,,,sanjaime-10089,This was far better than gundala,19-Nov-22,8
,,,,,,,,monibhebhe,best superhero movie in southeast asia,17-Nov-22,10
,,,,,,,,fvhimawan,Insufficient Character Build Up,27-Mar-23,6
,,,,,,,,haitsamrafid,impressive.,20-Nov-22,8
,,,,,,,,seniorscratchy,Improvements from Gundala! But...,20-Nov-22,8
,,,,,,,,rofiffaiz,"Strong world building, action packed, WW with The Raid moves",17-Nov-22,8
,,,,,,,,aliffiandika,Fighting scene & the CGI are beyond expectation,21-Nov-22,8
,,,,,,,,aji_gps,Dragging... dragging... dragging...,18-Apr-23,6
,,,,,,,,devinaanita,JUST STAY... IT GETS BETTER!!,22-Nov-22,7
,,,,,,,,rahimnoryan,I AM PROUD TO BE INDONESIAN,6-Dec-23,7
,,,,,,,,magnussonborski,"Not good, but not that bad either",20-Nov-22,5
,,,,,,,,Crescent11,Very good follow up after Gundala,26-Nov-22,10
,,,,,,,,cahidi,Dewi Asih,2-Oct-23,7
,,,,,,,,niarlove,IMPROVED 100%!!!,18-Nov-22,10
,,,,,,,,nick98nicholas,"Well-made, action-packed, Indonesian film.",22-Nov-22,8
,,,,,,,,bayunugrohomail,Sri Asih ^_^,20-Nov-22,10
,,,,,,,,BandSAboutMovies,Indonesian comic books,9-Jul-23,6
,,,,,,,,vincentrcrd,Very disappointing,20-Nov-22,1
,,,,,,,,gittagittab,A must watch film,22-Nov-22,8
,,,,,,,,friscalvionit,VERY RECOMMENDED!!!👌🏽,22-Nov-22,10
,,,,,,,,yuvenlalu,best indonesian superhero movie,19-Nov-22,10
,,,,,,,,lihatjalanan,Bad Music Theme,14-Dec-23,5
Miracle in Cell No. 7,-2022,145 min,"Comedy, Drama, Family",7.7,Hanung Bramantyo,Hanung Bramantyo,836,,,,
Miracle in Cell No. 7,-2022,145 min,"Comedy, Drama, Family",7.7,Hanung Bramantyo,Vino G. Bastian,836,,,,
Miracle in Cell No. 7,-2022,145 min,"Comedy, Drama, Family",7.7,Hanung Bramantyo,Graciella Abigail,836,,,,
Miracle in Cell No. 7,-2022,145 min,"Comedy, Drama, Family",7.7,Hanung Bramantyo,Mawar Eva de Jongh,836,,,,
Miracle in Cell No. 7,-2022,145 min,"Comedy, Drama, Family",7.7,Hanung Bramantyo,Indro Warkop,836,,,,
,,,,,,,,pink_giulie,"Wonderful, emotional movie",19-Nov-20,10
,,,,,,,,frans_xavier,A Soapy Film with Telenovela Style,21-Oct-22,1
,,,,,,,,alejahernandezlopez,Aleja,29-Oct-20,
,,,,,,,,paul_haakonsen,Quite a beautiful and emotional movie...,15-Jul-23,7
Stealing Raden Saleh,-2022,154 min,"Action, Crime, Drama",7.3,Angga Dwimas Sasongko,Angga Dwimas Sasongko,"2,644",,,,
Stealing Raden Saleh,-2022,154 min,"Action, Crime, Drama",7.3,Angga Dwimas Sasongko,Iqbaal Dhiafakhri Ramadhan,"2,644",,,,
Stealing Raden Saleh,-2022,154 min,"Action, Crime, Drama",7.3,Angga Dwimas Sasongko,Angga Yunanda,"2,644",,,,
Stealing Raden Saleh,-2022,154 min,"Action, Crime, Drama",7.3,Angga Dwimas Sasongko,Rachel Amanda,"2,644",,,,
Stealing Raden Saleh,-2022,154 min,"Action, Crime, Drama",7.3,Angga Dwimas Sasongko,Umay Shahab,"2,644",,,,
,,,,,,,,MichaelNontonMulu,A Pretty Well Executed Indonesian Heist Movie,26-Aug-22,8
,,,,,,,,yeanyprajaya,A BREATH OF FRESH AIR TO INDONESIAN FILM GENRE!,28-Aug-22,9
,,,,,,,,daryopeek,It's a fun and fulfilling film,4-Sep-22,8
,,,,,,,,inayatulfm,Indonesian action films recommended!,13-Dec-22,8
,,,,,,,,mikesimatupang,"The title didn't attract me AT ALL, but turned out it's A GOOD MOVIE TO WATCH!!!",28-Aug-22,8
,,,,,,,,fayreview,best indonesian heist movie in 2022!,2-Sep-22,9
,,,,,,,,albertval-69560,"Heist Film, Indonesian Style",6-Jan-23,7
,,,,,,,,Miputra,A bad movie and a good movie in one movie,6-Sep-22,7
,,,,,,,,HafizhMaulana21,The best theft film owned by Indonesia,24-Nov-22,10
,,,,,,,,rafaelfardhan,"A film that is not boring, a good plot and a good story",13-Sep-22,10
,,,,,,,,rahmanita-12828,Best Indonesia movie about heist,4-Sep-22,9
,,,,,,,,ops-52535,a highly interesting...,5-Jan-23,9
,,,,,,,,andrewchristianjr,SUPER FUN!,8-Jan-23,8
,,,,,,,,widyakamara,Amazing Action Movie,2-Jan-23,10
,,,,,,,,syakam,So Many Unexpected Plot,28-Aug-22,9
,,,,,,,,cinephile-007,A near perfect heist movie that keeps you engaged throughout,26-Jan-23,8
Two Blue Stripes,-2019,113 min,Drama,7.8,Gina S. Noer,Gina S. Noer,"1,585",,,,
Two Blue Stripes,-2019,113 min,Drama,7.8,Gina S. Noer,Adhisty Zara,"1,585",,,,
Two Blue Stripes,-2019,113 min,Drama,7.8,Gina S. Noer,Angga Yunanda,"1,585",,,,
Two Blue Stripes,-2019,113 min,Drama,7.8,Gina S. Noer,Cut Mini Theo,"1,585",,,,
Two Blue Stripes,-2019,113 min,Drama,7.8,Gina S. Noer,Arswendy Bening Swara,"1,585",,,,
,,,,,,,,daryopeek,A genuine sex ed flick that Indonesia needs,24-Jul-19,9
,,,,,,,,vi-nino,"It's TWO BLUE STRIPES movie, not JUNO's rip-off!",22-Jul-19,10
,,,,,,,,iamianiman,Dua Garis Biru crosses the line to reaching its good title.,4-Oct-19,7
,,,,,,,,RendyBrontosaurus,Dare to be Different!!,11-Nov-20,8
,,,,,,,,slytherinserpent,A really good movie,22-Nov-19,8
,,,,,,,,ini_ynti-22457,Enjoyable,10-Mar-20,7
,,,,,,,,massagekirana,Film Keren,9-Aug-19,10
,,,,,,,,reinaldowilliam818,The movie that we need AND we deserve,29-Jul-19,8
,,,,,,,,yuseric,IT'S NOT A SEX EDUCATION MOVIE!!!!!,28-Nov-19,8
,,,,,,,,ioyreviewee,Good? Yes. A bit overrated? Absolutely!,10-Jun-20,6
,,,,,,,,ansar88,Educational Movie,1-Jul-22,8
What's Up with Cinta?,-2002,112 min,"Drama, Romance",7.7,Rudy Soedjarwo,Rudy Soedjarwo,"3,119",,,,
What's Up with Cinta?,-2002,112 min,"Drama, Romance",7.7,Rudy Soedjarwo,Dian Sastrowardoyo,"3,119",,,,
What's Up with Cinta?,-2002,112 min,"Drama, Romance",7.7,Rudy Soedjarwo,Nicholas Saputra,"3,119",,,,
What's Up with Cinta?,-2002,112 min,"Drama, Romance",7.7,Rudy Soedjarwo,Ladya Cheryl,"3,119",,,,
What's Up with Cinta?,-2002,112 min,"Drama, Romance",7.7,Rudy Soedjarwo,Titi Kamal,"3,119",,,,
,,,,,,,,tiggerhans,"A little gem from Indonesia! TeenLove hurts, but in the end they live happily ever after.",13-Mar-02,8
,,,,,,,,kevin_blaze,"The best Indonesian movie ever made with great storyline, setting, casting and soundtrack!",24-Jul-02,10
,,,,,,,,kvnbrghtn,The start of Indonesia's comeback,22-Oct-04,10
,,,,,,,,savetheempire,Sheer brilliance,5-Oct-02,
,,,,,,,,suannz86,one of the best teen flicks i've ever seen.,11-Jan-05,10
,,,,,,,,rayfienta22,"'Ada Apa dengan Cinta?"" Forever.",9-Nov-14,10
,,,,,,,,harve_p,Memories and reflections from high school,25-Mar-02,8
,,,,,,,,tiggerhans,Soap for the masses.,6-Mar-02,8
,,,,,,,,keith.mclennan,A Hollywood-style teen movie from Indonesia,2-Jul-03,
,,,,,,,,deliasayang,"Better than most Hollywood teen movies, for sure.",6-Jan-05,8
,,,,,,,,ve-handojo,to see again and again,28-Oct-02,7
,,,,,,,,lee-90,great story about love,12-Jan-03,10
,,,,,,,,meydiana-65242,Not bad movie,31-May-21,8
,,,,,,,,risand,nice treat...,13-Sep-02,
,,,,,,,,sukapesta,"a delectable treat, but don't get your hopes up...",20-Sep-05,9
,,,,,,,,gila_film,Positive teen flick,15-Dec-02,8
,,,,,,,,shi612,Enjoyable adolescent movie from Indonesia with Hollywood taste,22-Nov-05,8
,,,,,,,,gc_susetyo,"Breakthrough (by the way, this also contains a spoiler for The Prince And Me)",12-Mar-06,9
,,,,,,,,aldiandoko,A well directed drama-romance.,9-Mar-18,10
,,,,,,,,calvinh1985,Sweet Story,26-Sep-04,9
,,,,,,,,laruelle,A fresh view over Indonesian society,17-Nov-02,10
,,,,,,,,Matt73,Diamond in the Rough,1-Aug-02,8
,,,,,,,,frereloupe9,the birth of pop-indocinema?,13-Jul-02,
,,,,,,,,milakariyn,Simple yet touching story!,24-Jul-12,7
,,,,,,,,kabankkabank,Bad Movie!!!,4-Feb-07,5
Ganjil Genap,-2023,124 min,"Comedy, Drama, Romance",7.5,Bene Dion Rajagukguk,Bene Dion Rajagukguk,107,,,,
Ganjil Genap,-2023,124 min,"Comedy, Drama, Romance",7.5,Bene Dion Rajagukguk,Clara Bernadeth,107,,,,
Ganjil Genap,-2023,124 min,"Comedy, Drama, Romance",7.5,Bene Dion Rajagukguk,Baskara Mahendra,107,,,,
Ganjil Genap,-2023,124 min,"Comedy, Drama, Romance",7.5,Bene Dion Rajagukguk,Oka Antara,107,,,,
Ganjil Genap,-2023,124 min,"Comedy, Drama, Romance",7.5,Bene Dion Rajagukguk,Josephine Firmstone,107,,,,
Broken Wings,-2022,110 min,"Action, Drama, Romance",5.6,Rudy Soedjarwo,Rudy Soedjarwo,"1,600",,,,
Broken Wings,-2022,110 min,"Action, Drama, Romance",5.6,Rudy Soedjarwo,Nicholas Saputra,"1,600",,,,
Broken Wings,-2022,110 min,"Action, Drama, Romance",5.6,Rudy Soedjarwo,Ariel Tatum,"1,600",,,,
Broken Wings,-2022,110 min,"Action, Drama, Romance",5.6,Rudy Soedjarwo,Iwa K.,"1,600",,,,
Broken Wings,-2022,110 min,"Action, Drama, Romance",5.6,Rudy Soedjarwo,Poppy Sovia,"1,600",,,,
,,,,,,,,feryantt,The star is not for Ariel Tatum. I would die for Ariel Tatum,23-Aug-22,1
,,,,,,,,vrffhcn,Verry bad movie,21-Aug-22,1
,,,,,,,,avakina,The part I like the most,21-Aug-22,1
,,,,,,,,aqien,the storyline is bad,18-Aug-22,1
,,,,,,,,movietrailermm,Broken wing another broken script,25-Aug-22,1
,,,,,,,,ilhamdb,Don't get the hate,23-Aug-22,9
,,,,,,,,hamzahanaz-64757,"The actors are good, the acting is also good, but the movie feels boring and the story is easy to gues.",22-Aug-22,1
,,,,,,,,masagusridwanfebriyan,Very disappointed,20-Aug-22,1
,,,,,,,,akbar_i,Predictable storyline,22-Aug-22,1
,,,,,,,,densussiregar,Complicated Story & Bad Action,24-Aug-22,1
,,,,,,,,Abc-kal,Plagiarisme,22-Aug-22,1
,,,,,,,,rudihermawanhajimugeni,Bad Movies,23-Aug-22,1
,,,,,,,,irdenihartono,garbage movie,22-Aug-22,1
,,,,,,,,mikesimatupang,"Got free ticket & dissapointed. Ngl, you better watch other movie!",28-Aug-22,2
,,,,,,,,jouirvan,My Favorit Film,19-Aug-22,10
,,,,,,,,hopemylifebebetter,Nonsense,23-Aug-22,1
,,,,,,,,fitriyantoandi,We need more like this,19-Aug-22,10
,,,,,,,,bodcctv,buzzer,24-Aug-22,1
,,,,,,,,yusakmanullang,An absolute watch movie.,18-Aug-22,10
,,,,,,,,joechaniagojc,Nothing special,23-Aug-22,1
,,,,,,,,kadrunjahanam,So nice,19-Aug-22,10
,,,,,,,,aliviasania,"Good movie based on ""Real Storry"" vs Radikals",25-Aug-22,10
,,,,,,,,mayaagustini,Not bad,20-Aug-22,7
,,,,,,,,agustinussamin,THIS FILM IS REALLY VERY GOOD,18-Aug-22,10
,,,,,,,,yonasirvanputra,Spectacular Movie,19-Aug-22,10
Yuni,-2021,95 min,Drama,7.4,Kamila Andini,Kamila Andini,"1,499",,,,
Yuni,-2021,95 min,Drama,7.4,Kamila Andini,Arawinda Kirana,"1,499",,,,
Yuni,-2021,95 min,Drama,7.4,Kamila Andini,Asmara Abigail,"1,499",,,,
Yuni,-2021,95 min,Drama,7.4,Kamila Andini,Sekar Sari,"1,499",,,,
Yuni,-2021,95 min,Drama,7.4,Kamila Andini,Marissa Anita,"1,499",,,,
,,,,,,,,Blue-Grotto,"Like a cloud turns to rain with no words, I simply want to love you.",2-Oct-21,9
,,,,,,,,CinemaClown,A Candid Portrait Of What It's Like To Be A Young Girl In Indonesia,10-May-22,
,,,,,,,,pasaribuharisfadli,Multilayered in its simplicity. A gem need to watch!,10-Dec-21,8
,,,,,,,,atractiveeyes,V Good,16-Jan-22,7
,,,,,,,,triaprilitatata,Success,15-Oct-21,9
,,,,,,,,FilmFlowCritics,A glimpse of a very different culture,9-Nov-21,7
,,,,,,,,elder-81604,"Indonesian indie-darling ""Yuni"" tantilizes in its mature and contemporary slant on coming of age",28-Oct-21,9
,,,,,,,,daryopeek,An honest portrait,29-May-22,9
,,,,,,,,canisthya,Excellent,22-Jun-22,10
,,,,,,,,mazisramadhan,Cinematic symphony of emotion,22-Dec-23,10
,,,,,,,,alanicareek-97898,GOOD MOVIE BUT THERE'S STRANGE MESSAGE INSIDE,23-Mar-23,3
Imperfect,-2019,113 min,"Comedy, Drama, Romance",7.7,Ernest Prakasa,Ernest Prakasa,"1,327",,,,
Imperfect,-2019,113 min,"Comedy, Drama, Romance",7.7,Ernest Prakasa,Jessica Mila,"1,327",,,,
Imperfect,-2019,113 min,"Comedy, Drama, Romance",7.7,Ernest Prakasa,Reza Rahadian,"1,327",,,,
Imperfect,-2019,113 min,"Comedy, Drama, Romance",7.7,Ernest Prakasa,Yasmin Napper,"1,327",,,,
Imperfect,-2019,113 min,"Comedy, Drama, Romance",7.7,Ernest Prakasa,Karina Suwandhi,"1,327",,,,
,,,,,,,,vi-nino,This is a movie that our society needs.,24-Dec-19,10
,,,,,,,,rescy009,Not your typical Asian drama movies......,29-Dec-19,8
,,,,,,,,aryawibitomo,Best Indonesian movie in 2019 !,1-Jan-20,10
,,,,,,,,klemenaslan,Nice movie...,25-Dec-19,9
,,,,,,,,rainerraff-87519,Critics that also give you a good relief,13-Jul-20,9
,,,,,,,,abiprajaap,High Recommended Movie,28-Dec-19,10
,,,,,,,,ephenys,Awesome family movie to watch !,30-Dec-19,10
,,,,,,,,darc-04238,Brilliant Indonesian Movie to close 2019,1-Jan-20,10
,,,,,,,,bryantxzhan,Worth to watch,6-Jun-21,9
,,,,,,,,laurentsita,Its nice but..,2-Jan-20,8
,,,,,,,,wahyuredhani,Okay,13-Mar-22,8
,,,,,,,,daryopeek,Formulaic but still works,23-Aug-22,8
,,,,,,,,keyldoe,Plain script contain powerful message,18-Jul-20,4
Cemara's Family,-2018,110 min,"Drama, Family",7.7,Yandy Laurens,Yandy Laurens,945,,,,
Cemara's Family,-2018,110 min,"Drama, Family",7.7,Yandy Laurens,Nirina Zubir,945,,,,
Cemara's Family,-2018,110 min,"Drama, Family",7.7,Yandy Laurens,Ringgo Agus Rahman,945,,,,
Cemara's Family,-2018,110 min,"Drama, Family",7.7,Yandy Laurens,Adhisty Zara,945,,,,
Cemara's Family,-2018,110 min,"Drama, Family",7.7,Yandy Laurens,Widuri Sasono,945,,,,
,,,,,,,,LDRmuffin,Heartwarming!,4-Jan-19,8
,,,,,,,,annisasafanta,Helping Digital Economy,4-Jan-19,8
,,,,,,,,juliusalexs,Good Movie,3-Jan-19,9
,,,,,,,,ignsyndrome,Beautiful Movie,26-Jul-19,9
,,,,,,,,RHZlubis,"It's good, but overrated",29-Apr-20,7
,,,,,,,,ykd-95042,Really Likes the Scenario,8-Jan-19,8
,,,,,,,,rainerraff-87519,Will Not Fail to Touch Your Heart,12-Jan-19,9
,,,,,,,,leonihang,True Value of Family - Priceless!,7-Jan-19,9
,,,,,,,,zafierfazamuhammad,What a beautiful movie!!,19-Jan-19,9
,,,,,,,,cocingescape,Family Movie that Must be Watched.,9-Jan-19,8
,,,,,,,,ferryvisual,A heartwarming movie that touched me from beginning to finished,18-Sep-19,10
,,,,,,,,karismaputrime,One of good movie in 2019,10-Jan-19,9
,,,,,,,,pragyaaguna,"Doesn't Feel Like A Very Special Movie, But Its Also Far From Bad",24-Jun-22,5
,,,,,,,,Xomed007,A moral story,4-Jan-19,8
,,,,,,,,amirmsani,Skip it,13-Jul-21,4
Perfect Strangers,-2022,125 min,"Comedy, Drama",7.4,Rako Prijanto,Rako Prijanto,691,,,,
Perfect Strangers,-2022,125 min,"Comedy, Drama",7.4,Rako Prijanto,Vino G. Bastian,691,,,,
Perfect Strangers,-2022,125 min,"Comedy, Drama",7.4,Rako Prijanto,Adipati Dolken,691,,,,
Perfect Strangers,-2022,125 min,"Comedy, Drama",7.4,Rako Prijanto,Jessica Mila,691,,,,
Perfect Strangers,-2022,125 min,"Comedy, Drama",7.4,Rako Prijanto,Denny Sumargo,691,,,,
,,,,,,,,HafizhMaulana21,"Exciting, suspenseful, and interesting drama stories",24-Nov-22,8
Check Store Next Door,-2016,104 min,"Comedy, Drama",7.8,Ernest Prakasa,Ernest Prakasa,"2,130",,,,
Check Store Next Door,-2016,104 min,"Comedy, Drama",7.8,Ernest Prakasa,Ernest Prakasa,"2,130",,,,
Check Store Next Door,-2016,104 min,"Comedy, Drama",7.8,Ernest Prakasa,Kin Wah Chew,"2,130",,,,
Check Store Next Door,-2016,104 min,"Comedy, Drama",7.8,Ernest Prakasa,Gisella Anastasia,"2,130",,,,
Check Store Next Door,-2016,104 min,"Comedy, Drama",7.8,Ernest Prakasa,Dion Wiyoko,"2,130",,,,
